strategy,window,cumulative_return,max_drawdown,Sharpe,time_in_stress,time_in_credit_stress,time_in_vix_stress,time_in_cmdty_stress,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
SPY_CASH_VIX_ONLY,2015_2016,0.03286621658973066,-0.12820731961846055,0.24778542612606827,17,0,17,0,0.9264069264069265,0.0,0.0,0.0735930735930736,0.0
SPY_CASH_VIX_ONLY,2018Q4,-0.1492026377380995,-0.20071960719365012,-2.4264002027028733,28,0,28,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
SPY_CASH_VIX_ONLY,COVID_2020,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,0,30,0,0.7115384615384616,0.0,0.0,0.28846153846153844,0.0
SPY_CASH_VIX_ONLY,2022_RATE_WAR,-0.14323176091302348,-0.27653817513348744,-0.477448362381779,14,0,14,0,0.9606741573033708,0.0,0.0,0.03932584269662921,0.0
SPY_CASH_VIX_ONLY,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,0,49,0,0.8567251461988304,0.0,0.0,0.14327485380116958,0.0
SPY_CASH_VIX_ONLY,FULL_SAMPLE,7.141100094907127,-0.4496120164282583,0.6903269364199018,316,0,316,0,0.9377217185652346,0.0,0.0,0.06227828143476547,0.0
SPY_CASH_CMDTY_ONLY,2008_GFC,0.06284201386535515,-0.2149434846221414,0.1879759178839395,146,0,0,146,0.6689342403628118,0.0,0.0,0.3310657596371882,0.0
SPY_CASH_CMDTY_ONLY,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,125,0,0,125,0.4588744588744589,0.0,0.0,0.5411255411255411,0.0
SPY_CASH_CMDTY_ONLY,2018Q4,-0.0660901455288514,-0.19203234009564452,-0.8163878971615426,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_CASH_CMDTY_ONLY,COVID_2020,-0.03167845151604476,-0.3371727790547798,-0.15424226346781125,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_CASH_CMDTY_ONLY,2022_RATE_WAR,-0.08745430725697201,-0.24496374143038613,-0.28307768718177867,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_CASH_CMDTY_ONLY,2025_PULLBACK,0.3048626235542884,-0.18755233666641224,1.200700598753348,0,0,0,0,1.0,0.0,0.0,0.0,0.0
