date,spy_price,SPY_return,CASH_return,macro_regime_confirmed,final_regime_confirmed,VIX_LEVEL,VIX_ZSCORE_120D,CMDTY_RET60,WBAA,WAAA,CREDIT_SPREAD,D_CREDIT_15D,D_CREDIT_20D,D_CREDIT_60D,CREDIT_LEVEL_Z_252D,CREDIT_LEVEL_Z_504D,D_CREDIT_15D_Z_252D,D_CREDIT_20D_Z_252D,D_CREDIT_60D_Z_252D,CREDIT_PERCENTILE_252D,CREDIT_PERCENTILE_504D,CREDIT_SPREAD_MA20,CREDIT_SPREAD_MA60,CREDIT_ABOVE_MA20,CREDIT_ABOVE_MA60,SPY_MA20,SPY_MA50,SPY_MA100,SPY_DD
2014-05-23,155.29776000976562,0.0040083015009821,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,11.36,-1.7351326189779648,0.0180062201144719,4.78,4.18,0.6000000000000005,-0.019999999999998685,-0.040000000000000036,-0.049999999999998934,-1.6233868379998027,-1.402786883524976,-0.11732883664846985,-0.3296743097853554,0.013540338701380038,0.003968253968253968,0.001984126984126984,0.6229999999999998,0.6653333333333331,False,False,153.69344253540038,152.5017303466797,150.55123611450196,0.0
2014-05-27,156.25238037109375,0.0061470323929211,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,11.51,-1.6152513423819097,0.0086153470552898,4.78,4.18,0.6000000000000005,-0.019999999999998685,-0.040000000000000036,-0.08999999999999897,-1.6074195703379395,-1.3969557080829211,-0.11604638462327656,-0.32740124792239617,-0.4425406226336398,0.005952380952380952,0.002976190476190476,0.6209999999999998,0.6638333333333332,False,False,153.88272247314453,152.62690521240233,150.61358032226562,0.0
2014-05-28,156.13818359375,-0.0007308482409837,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,11.68,-1.4882512669858885,-0.0128515265894179,4.78,4.18,0.6000000000000005,-0.019999999999998685,-0.040000000000000036,-0.08999999999999897,-1.5917467053978318,-1.3911678714880076,-0.1147639725956627,-0.3251302997572199,-0.44366781504517433,0.007936507936507936,0.003968253968253968,0.6189999999999998,0.6623333333333332,False,False,154.03080291748046,152.722666015625,150.68915954589843,-0.0007308482409837
2014-05-29,156.94580078125,0.0051724515356301,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,11.57,-1.5219537740579625,-0.002286585365852,4.78,4.18,0.6000000000000005,-0.019999999999998685,-0.040000000000000036,-0.08999999999999897,-1.5763579880118705,-1.385422797266741,-0.11348159417119959,-0.32286142983198174,-0.44479662570115414,0.00992063492063492,0.00496031746031746,0.6169999999999998,0.6608333333333332,False,False,154.19641876220703,152.8129736328125,150.77305923461915,0.0
2014-05-30,157.19876098632812,0.0016117679085323,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,11.4,-1.5860278071923666,0.0009251743807845,4.7,4.16,0.54,-0.07999999999999918,-0.10000000000000053,-0.14999999999999947,-2.0879483375742462,-1.6180788044337304,-1.0807964658443752,-1.1603067864841456,-1.124621542361817,0.003968253968253968,0.001984126984126984,0.6119999999999998,0.6583333333333332,False,False,154.37386779785157,152.92458618164062,150.86379287719726,0.0
2014-06-02,157.37823486328125,0.0011417003278335,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,11.58,-1.4606506432599904,-0.0038402457757277,4.7,4.16,0.54,-0.08000000000000007,-0.07999999999999918,-0.14999999999999947,-2.0610301457703133,-1.611428164663728,-1.0728361267669049,-0.8729255513105696,-1.1202373924947797,0.005952380952380952,0.002976190476190476,0.6079999999999998,0.6558333333333333,False,False,154.57130584716796,153.02208068847656,150.9472235107422,0.0
2014-06-03,157.29669189453125,-0.0005181337102988,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,11.87,-1.282152509772679,-0.0082663978783944,4.7,4.16,0.54,-0.08000000000000007,-0.07999999999999918,-0.15000000000000036,-2.0348776799786035,-1.6048437014081665,-1.065377950026732,-0.8668688909904858,-1.1158794896393571,0.007936507936507936,0.003968253968253968,0.6039999999999999,0.6533333333333332,False,False,154.7499755859375,153.1297735595703,151.02951385498048,-0.0005181337102988
2014-06-04,157.6148681640625,0.0020227778836225,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,12.08,-1.1501637001026572,-0.0038556445186099,4.7,4.16,0.54,-0.08000000000000007,-0.07999999999999918,-0.15000000000000036,-2.0094526000920174,-1.5983245602762541,-1.057984903049907,-0.8608496079534658,-1.1108538842763198,0.00992063492063492,0.00496031746031746,0.5999999999999999,0.6508333333333333,False,False,155.01145782470704,153.25639404296874,151.11401107788086,0.0
2014-06-05,158.6427764892578,0.0065216456871655,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,11.68,-1.3470308928403008,-0.0006186103749451,4.7,4.16,0.54,-0.08000000000000007,-0.07999999999999918,-0.15000000000000036,-1.9847191983473529,-1.5921146090346074,-1.0506556754740561,-0.8548670121098016,-1.1058620843272071,0.011904761904761904,0.005952380952380952,0.5959999999999999,0.6483333333333333,False,False,155.2794662475586,153.3892138671875,151.2047265625,0.0
2014-06-06,159.40158081054688,0.0047831003596967,1.5869854708139286e-06,STEEP,STEEP_LOW_RATE,10.73,-1.8271037286603335,0.0089598753408668,4.82,4.27,0.5500000000000007,-0.0699999999999994,-0.06999999999999851,-0.13999999999999968,-1.8763194460121084,-1.546368764169056,-0.8841467772529812,-0.7099613569299763,-0.9892217485301287,0.023809523809523808,0.011904761904761904,0.5925,0.6459999999999998,False,False,155.59356994628905,153.55907440185547,151.32293060302734,0.0
