strategy_id,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_entries,number_credit_unlocks,false_recovery_count,missed_rebound_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
CW15_ABS10_ZW252_UZ1P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS10_ZW252_UZ1P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS10_ZW252_UZ1P5,2018Q4,0.0971443216794512,-0.04569042248481847,3.2972729605866995,32,2,1,1,1,0.4950861212123282,0.8429049642268531,0.9000000000000001,0.1,0.4296440955640339
CW15_ABS10_ZW252_UZ1P5,COVID_2020,0.1901155299673074,-0.15383533620823908,2.019851298250896,42,2,2,1,1,0.5312940383184089,1.0,,,0.46870596168159107
CW15_ABS10_ZW252_UZ1P5,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,119,1,1,1,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
CW15_ABS10_ZW252_UZ1P5,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
CW15_ABS10_ZW504_UZ0P5,2008_GFC,0.5697317364940935,-0.10238566543315386,1.7240687010208935,242,1,1,1,1,0.5337118878049483,0.3279073771397484,0.7271903323262839,0.1,0.4573412349282221
CW15_ABS10_ZW504_UZ0P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS10_ZW504_UZ0P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS10_ZW504_UZ0P5,2018Q4,0.0971443216794512,-0.04569042248481847,3.2972729605866995,32,2,1,2,2,0.4950861212123282,0.8429049642268531,0.9000000000000001,0.1,0.4296440955640339
CW15_ABS10_ZW504_UZ0P5,COVID_2020,0.07259946882452217,-0.15383533620823908,0.775305909573668,69,2,2,1,2,0.555479772380822,1.0,,,0.44452022761917787
CW15_ABS10_ZW504_UZ0P5,2022_RATE_WAR,0.03673261099151426,-0.18575032866539742,0.1665394453721576,252,2,1,2,2,0.5047562786336742,0.6871526847572116,0.8034482758620689,0.1,0.3816373370191343
CW15_ABS10_ZW504_UZ0P5,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
CW15_ABS10_ZW504_UZ1P0,2008_GFC,0.5697317364940935,-0.10238566543315386,1.7240687010208935,242,1,1,1,1,0.5337118878049483,0.3279073771397484,0.7271903323262839,0.1,0.4573412349282221
CW15_ABS10_ZW504_UZ1P0,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS10_ZW504_UZ1P0,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS10_ZW504_UZ1P0,2018Q4,0.0971443216794512,-0.04569042248481847,3.2972729605866995,32,2,1,1,2,0.4950861212123282,0.8429049642268531,0.9000000000000001,0.1,0.4296440955640339
CW15_ABS10_ZW504_UZ1P0,COVID_2020,0.0582116289037935,-0.15383533620823908,0.5863901755260285,62,2,2,2,2,0.5466885689225445,1.0,,,0.4533114310774554
CW15_ABS10_ZW504_UZ1P0,2022_RATE_WAR,-0.005608412135206131,-0.21900496327357288,-0.02544799502251154,193,3,3,2,2,0.5050875182111231,0.686701986425053,0.7444444444444444,0.1,0.36819365393364867
CW15_ABS10_ZW504_UZ1P0,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
CW15_ABS10_ZW504_UZ1P5,2008_GFC,0.5697317364940935,-0.10238566543315386,1.7240687010208935,242,1,1,1,1,0.5337118878049483,0.3279073771397484,0.7271903323262839,0.1,0.4573412349282221
CW15_ABS10_ZW504_UZ1P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS10_ZW504_UZ1P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS10_ZW504_UZ1P5,2018Q4,0.0971443216794512,-0.04569042248481847,3.2972729605866995,32,2,1,1,1,0.4950861212123282,0.8429049642268531,0.9000000000000001,0.1,0.4296440955640339
CW15_ABS10_ZW504_UZ1P5,COVID_2020,0.09931859741416948,-0.15383533620823908,1.0342547263562103,55,2,2,2,2,0.5401989680165098,1.0,,,0.45980103198349015
CW15_ABS10_ZW504_UZ1P5,2022_RATE_WAR,-0.005608412135206131,-0.21900496327357288,-0.02544799502251154,75,3,3,3,2,0.5050875182111231,0.686701986425053,0.7444444444444444,0.1,0.36819365393364867
CW15_ABS10_ZW504_UZ1P5,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
