strategy_id,credit_change_window,credit_abs_threshold,credit_level_z_window,unlock_z_threshold,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final_Equity,annualized_vol,turnover,transaction_cost_drag,time_in_credit_lock,number_credit_entries,number_credit_unlocks,avg_credit_lock_duration,false_recovery_count,missed_rebound_count,relock_within_21d_count,relock_within_63d_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT,rank_sharpe,rank_calmar,rank_maxdd,rank_final_equity,rank_false_recovery,rank_missed_rebound,composite_score,rank_composite,materially_better
CW20_ABS05_ZW252_UZ1P5,20,0.05,252,1.5,0.19493303657820427,1.4709653855105662,1.986371911531836,-0.16905122540885464,1.1531004055531322,36.08332998116365,0.13252047838674585,15.335163226008811,0.007667581613004406,584,16,16,36.5,12,8,6,9,0.7258296801709868,0.5002957141322415,0.7442396313364057,0.09999999999999999,0.4245228925603708,26.0,24.0,48.0,34.0,67.0,59.0,0.5265243902439025,40.0,False
CW20_ABS05_ZW504_UZ0P5,20,0.05,504,0.5,0.18543443947067084,1.4098154427811453,1.9129842252223324,-0.1894829350969245,0.9786339829273663,30.726876191930508,0.1315310031679494,15.490756525437757,0.007745378262718879,1217,17,17,71.58823529411765,14,9,8,10,0.7341423910304562,0.5114028475532928,0.7421052631578947,0.1,0.4234233784024633,68.0,64.0,63.0,71.0,77.0,65.0,0.8469512195121951,80.0,False
CW20_ABS05_ZW504_UZ1P0,20,0.05,504,1.0,0.1846926849054522,1.3999463475512708,1.8847565820059118,-0.1894829350969246,0.9747193582946028,30.342060182614407,0.13192840227663663,15.517633557540043,0.0077588167787700215,1058,17,17,62.23529411764706,12,9,7,10,0.73227260875977,0.5061365309400947,0.7421052631578947,0.1,0.42462733499550354,74.0,65.0,64.0,74.0,67.0,65.0,0.861890243902439,81.0,False
CW20_ABS05_ZW504_UZ1P5,20,0.05,504,1.5,0.19182789909057552,1.4553531939529478,1.9587709454763127,-0.18948293509692415,1.012375594627832,34.2415747473211,0.13180848462601952,15.47040747416994,0.007735203737084971,843,18,18,46.833333333333336,14,9,7,10,0.728975690281326,0.49449168969839946,0.739572192513369,0.1,0.42485202990203286,37.0,62.0,62.0,49.0,77.0,65.0,0.6768292682926829,65.0,False
CW20_ABS10_ZW126_UZ0P5,20,0.1,126,0.5,0.1867840348730454,1.4091138431444459,1.8995871945593428,-0.16905122540885376,1.1048960717161587,31.438960910714616,0.1325542544215134,15.415776843338174,0.007707888421669086,479,9,9,53.22222222222222,7,6,2,2,0.7261239080404976,0.5000915653533917,0.739622641509434,0.1,0.4251471739497582,69.0,48.0,21.0,70.0,45.0,28.0,0.6271341463414635,54.0,False
CW20_ABS10_ZW126_UZ1P0,20,0.1,126,1.0,0.19484169771550874,1.464947923664076,1.9799605361531485,-0.1690512254088533,1.1525601026805972,36.027835348003684,0.13300247371809476,15.442610497838318,0.007721305248919159,440,9,9,48.888888888888886,6,5,2,2,0.7243736853322473,0.4964295640736451,0.7400476758045293,0.1,0.425997222891997,31.0,25.0,6.0,35.0,31.0,11.0,0.311890243902439,18.0,False
CW20_ABS10_ZW126_UZ1P5,20,0.1,126,1.5,0.20661015808594563,1.5457387852885285,2.091807431288635,-0.16905122540885376,1.222174862005613,43.88788094460236,0.13366434228884258,16.0954645608019,0.008047732280400951,352,9,9,39.111111111111114,5,4,2,2,0.718674503765463,0.4797124947725727,0.738748495788207,0.1,0.4304169460652955,2.0,2.0,21.0,3.0,24.0,1.0,0.13932926829268294,5.0,False
CW20_ABS10_ZW252_UZ0P5,20,0.1,252,0.5,0.181648021000278,1.3732030969305105,1.8505543851913895,-0.16905122540885353,1.0745146659597342,28.809968534418307,0.13228052092681095,15.325764457501553,0.007662882228750776,813,9,9,90.33333333333333,6,7,3,3,0.732735060084653,0.5063913040416713,0.7392282958199358,0.1,0.4248243418571601,80.0,56.0,10.0,81.0,31.0,45.0,0.6567073170731708,60.0,False
CW20_ABS10_ZW252_UZ1P0,20,0.1,252,1.0,0.18685927264392954,1.4127485086104565,1.9056450453804492,-0.16905122540885353,1.105341130725358,31.479116478341627,0.132266480201575,15.27853837413145,0.0076392691870657255,709,9,9,78.77777777777777,7,6,2,3,0.730344038966743,0.49868598344347237,0.7366013071895425,0.1,0.42496555898846106,66.0,47.0,10.0,69.0,45.0,28.0,0.5801829268292683,46.0,False
CW20_ABS10_ZW252_UZ1P5,20,0.1,252,1.5,0.19271247323182572,1.4489634597987693,1.9588568353773657,-0.16905122540885364,1.1399649589392025,34.75693525791982,0.13300022987369844,15.442610497838318,0.007721305248919159,451,9,9,50.111111111111114,6,5,2,2,0.724874126234952,0.4970734652724977,0.7398104265402845,0.1,0.425872543716346,45.0,32.0,14.0,46.0,31.0,11.0,0.4204268292682927,30.0,False
