oil_nonrisk_rate_cross_state,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
STEEP_MID_RATE__OIL_HIGH,DBB,91,0.5821679495141199,0.1737863847918905,0.5764856640673073,3.317208449658757,-0.05045039612369828,0.1801910626832277
STEEP_MID_RATE__OIL_HIGH,DBA,91,-0.00986100026261405,0.12614181579702557,-0.01342201905787821,-0.10640420048713696,-0.04547612704878712,-0.003572194620405811
STEEP_MID_RATE__OIL_HIGH,CASH,91,0.0036095134476696877,0.00017139796024709514,0.0,0.0,0.0,0.0013019354562704422
STEEP_MID_RATE__OIL_LOW,SPY,32,0.3526360693031929,0.14039699330016725,0.35200902465469186,2.507240478448854,-0.031220376714141573,0.03910132881781414
STEEP_MID_RATE__OIL_LOW,GOLD,32,-0.18302758049608658,0.11730803972831266,-0.18340806339371463,-1.5634739427791198,-0.055434600121368915,-0.02534316498491862
STEEP_MID_RATE__OIL_LOW,IEF,32,-0.07565218649437477,0.07486960426082451,-0.07608300360354536,-1.0162068352664684,-0.02536461666299128,-0.009939713359686575
STEEP_MID_RATE__OIL_LOW,DBC,32,0.20399139734358163,0.20473348419791265,0.20343343506369482,0.9936500414706902,-0.05166653412377753,0.023853666837547527
STEEP_MID_RATE__OIL_LOW,DBB,32,-0.35077368852685453,0.26907408066531285,-0.35107539973513935,-1.3047536903854506,-0.08081475575029962,-0.053376494662586094
STEEP_MID_RATE__OIL_LOW,DBA,32,1.8407669692213169,0.18474783555708163,1.83945662077819,9.956580087834654,-0.032918046896900255,0.14177130739525623
STEEP_MID_RATE__OIL_LOW,CASH,32,0.0004654899219911357,3.325535993097564e-05,0.0,0.0,0.0,5.90978243240059e-05
STEEP_MID_RATE__OIL_MID,SPY,512,0.18897400409846798,0.11042810722486499,0.18700991688443103,1.6934992510885145,-0.06867867848527687,0.42144854271524634
STEEP_MID_RATE__OIL_MID,GOLD,512,0.026257992665853047,0.15483547399099531,0.02456149412302322,0.15862963111703737,-0.20402109030664106,0.05407243403501849
STEEP_MID_RATE__OIL_MID,IEF,512,0.04060287427791498,0.06130858697442457,0.03888271028743184,0.6342131209719793,-0.06451490564705697,0.08422339251309907
STEEP_MID_RATE__OIL_MID,DBC,512,0.00222236659933972,0.1290330257644207,0.0005656216630141042,0.004383541807713445,-0.18435989588972124,0.00452046122936034
STEEP_MID_RATE__OIL_MID,DBB,512,0.04434189061579352,0.180658895789103,0.04261480619254887,0.23588545699015237,-0.16518707663570475,0.09215323985953372
STEEP_MID_RATE__OIL_MID,DBA,512,0.07546163626828828,0.13784577619586774,0.07368364763929636,0.5345368546845993,-0.17619874877136932,0.15929205423552584
STEEP_MID_RATE__OIL_MID,CASH,512,0.0016561137184916142,0.00015588352693661917,0.0,0.0,0.0,0.0033676772261046484
